date      , admin1       , admin2     , market                         , latitude    , longitude  , category             , commodity                  , unit  , priceflag, pricetype, currency, price   , usdprice
2006-02-15, North Eastern, Mandera    , Mandera                        , 3.936804    , 41.858383  , cereals and tubers   , Maize (white)              , KG    , actual   , Retail   , KES     ,    29   ,   0.4045
2006-02-15, Nyanza       , Kisumu     , Kisumu                         , -0.1        , 34.75      , cereals and tubers   , Maize                      , KG    , actual   , Wholesale, KES     ,    17.83,   0.2487
2006-02-15, Nyanza       , Kisumu     , Kisumu                         , -0.1        , 34.75      , cereals and tubers   , Maize (white)              , 90 KG , actual   , Wholesale, KES     ,  1456   ,  20.3068
2006-02-15, Nyanza       , Kisumu     , Kisumu                         , -0.1        , 34.75      , cereals and tubers   , Potatoes (Irish)           , 50 KG , actual   , Wholesale, KES     ,  1184.99,  16.5271
2006-02-15, Nyanza       , Kisumu     , Kisumu                         , -0.1        , 34.75      , cereals and tubers   , Sorghum                    , 90 KG , actual   , Wholesale, KES     ,  1600   ,  22.3152
2006-02-15, Nyanza       , Kisumu     , Kisumu                         , -0.1        , 34.75      , pulses and nuts      , Beans                      , KG    , actual   , Wholesale, KES     ,    42.79,   0.5968
2006-02-15, Rift Valley  , Turkana    , Lodwar (Turkana)               , 3.116667    , 35.6       , cereals and tubers   , Maize (white)              , KG    , actual   , Retail   , KES     ,    28   ,   0.3905
2006-02-15, Rift Valley  , Uasin Gishu, Eldoret town (Uasin Gishu)     , 0.516667    , 35.283333  , cereals and tubers   , Maize                      , KG    , actual   , Wholesale, KES     ,    13.12,   0.183
2006-02-15, Rift Valley  , Uasin Gishu, Eldoret town (Uasin Gishu)     , 0.516667    , 35.283333  , cereals and tubers   , Maize (white)              , 90 KG , actual   , Wholesale, KES     ,  1304   ,  18.1869
2006-02-15, Rift Valley  , Uasin Gishu, Eldoret town (Uasin Gishu)     , 0.516667    , 35.283333  , cereals and tubers   , Potatoes (Irish)           , 50 KG , actual   , Wholesale, KES     ,  1038.33,  14.4816
2006-02-15, Rift Valley  , Uasin Gishu, Eldoret town (Uasin Gishu)     , 0.516667    , 35.283333  , cereals and tubers   , Sorghum                    , 90 KG , actual   , Wholesale, KES     ,  1504   ,  20.9763
2006-02-15, Rift Valley  , Uasin Gishu, Eldoret town (Uasin Gishu)     , 0.516667    , 35.283333  , pulses and nuts      , Beans                      , KG    , actual   , Wholesale, KES     ,    44.02,   0.6139
2006-03-15, Coast        , Mombasa    , Mombasa                        , -4.05       , 39.666667  , pulses and nuts      , Beans                      , KG    , actual   , Wholesale, KES     ,    44.69,   0.6176
2006-03-15, Eastern      , Kitui      , Kitui                          , -1.366667   , 38.016667  , cereals and tubers   , Sorghum                    , 90 KG , actual   , Wholesale, KES     ,  2000   ,  27.6434
2006-03-15, Eastern      , Marsabit   , Marsabit                       , 2.333333    , 37.983333  , cereals and tubers   , Maize (white)              , KG    , actual   , Retail   , KES     ,    22   ,   0.3041
2006-03-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , cereals and tubers   , Maize                      , KG    , actual   , Wholesale, KES     ,    16.91,   0.2337
2006-03-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , cereals and tubers   , Potatoes (Irish)           , 50 KG , actual   , Wholesale, KES     ,   961.11,  13.2842
2006-03-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , cereals and tubers   , Sorghum                    , 90 KG , actual   , Wholesale, KES     ,  2250   ,  31.0988
2006-03-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , milk and dairy       , "Milk (cow, pasteurized)"  , 500 ML, actual   , Retail   , KES     ,    25   ,   0.3455
2006-03-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , oil and fats         , Oil (vegetable)            , L     , actual   , Retail   , KES     ,   108   ,   1.4927
2006-03-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , pulses and nuts      , Beans                      , KG    , actual   , Wholesale, KES     ,    42.31,   0.5848
2006-03-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , pulses and nuts      , Beans (dry)                , 90 KG , actual   , Wholesale, KES     ,  3760   ,  51.9696
2006-03-15, North Eastern, Mandera    , Mandera                        , 3.936804    , 41.858383  , cereals and tubers   , Maize (white)              , KG    , actual   , Retail   , KES     ,    27   ,   0.3732
2006-03-15, Nyanza       , Kisumu     , Kisumu                         , -0.1        , 34.75      , cereals and tubers   , Maize                      , KG    , actual   , Wholesale, KES     ,    14.75,   0.2039
2006-03-15, Nyanza       , Kisumu     , Kisumu                         , -0.1        , 34.75      , cereals and tubers   , Potatoes (Irish)           , 50 KG , actual   , Wholesale, KES     ,  1872.91,  25.8868
